,book_id,title,category,char_type,aozora_url,author_id,author_role,publisher,date_published,book_url,char_count,book_type,year_pub
14193,16028,たより,NDC 913,新字新仮名,https://www.aozora.gr.jp/cards/000311/card16028.html,311,著者,新日本出版社,1986（昭和61）年3月20日,https://www.aozora.gr.jp/cards/000311/files/16028_30018.html,1975.0,flash,1986.0
14194,1985,だるまや百貨店,NDC 913,新字新仮名,https://www.aozora.gr.jp/cards/000311/card1985.html,311,著者,新日本出版社,1979（昭和54）年9月20日,https://www.aozora.gr.jp/cards/000311/files/1985_6519.html,5375.0,short,1979.0
14195,2969,誰のために,NDC 310 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card2969.html,311,著者,新日本出版社,1979（昭和54）年11月20日,https://www.aozora.gr.jp/cards/000311/files/2969_10055.html,5973.0,short,1979.0
14196,7925,短歌,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card7925.html,311,著者,新日本出版社,1981（昭和56）年12月25日初版,https://www.aozora.gr.jp/cards/000311/files/7925_34413.html,415.0,flash,1981.0
14197,16010,短歌習作,NDC 911,新字新仮名,https://www.aozora.gr.jp/cards/000311/card16010.html,311,著者,新日本出版社,1986（昭和61）年3月20日,https://www.aozora.gr.jp/cards/000311/files/16010_30019.html,1191.0,flash,1986.0
14198,3143,男女交際より家庭生活へ,NDC 367,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3143.html,311,著者,新日本出版社,1979（昭和54）年7月20日,https://www.aozora.gr.jp/cards/000311/files/3143_10769.html,17810.0,novelette,1979.0
14199,3685,断想,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3685.html,311,著者,新日本出版社,1981（昭和56）年3月20日,https://www.aozora.gr.jp/cards/000311/files/3685_12720.html,783.0,flash,1981.0
14200,15950,蛋白石,NDC 913,新字新仮名,https://www.aozora.gr.jp/cards/000311/card15950.html,311,著者,新日本出版社,1981（昭和56）年11月25日,https://www.aozora.gr.jp/cards/000311/files/15950_36947.html,12555.0,novelette,1981.0
14201,3736,断片的なもの,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3736.html,311,著者,新日本出版社,1981（昭和56）年3月20日,https://www.aozora.gr.jp/cards/000311/files/3736_12719.html,79.0,flash,1981.0
14202,7932,小さい子供,NDC 913,新字新仮名,https://www.aozora.gr.jp/cards/000311/card7932.html,311,著者,新日本出版社,1981（昭和56）年12月25日,https://www.aozora.gr.jp/cards/000311/files/7932_31540.html,3640.0,shortshort,1981.0
14203,4042,小さい婦人たちの発言について,NDC 367 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card4042.html,311,著者,新日本出版社,1981（昭和56）年3月20日,https://www.aozora.gr.jp/cards/000311/files/4042_12713.html,3176.0,shortshort,1981.0
14204,4171,小さき家の生活,NDC 916,新字新仮名,https://www.aozora.gr.jp/cards/000311/card4171.html,311,著者,新日本出版社,1981（昭和56）年5月30日,https://www.aozora.gr.jp/cards/000311/files/4171_14765.html,8695.0,short,1981.0
14205,2854,近頃の感想,NDC 902 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card2854.html,311,著者,新日本出版社,1980（昭和55）年12月20日,https://www.aozora.gr.jp/cards/000311/files/2854_8465.html,5930.0,short,1980.0
14206,3996,近頃の商売,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3996.html,311,著者,新日本出版社,1981（昭和56）年3月20日,https://www.aozora.gr.jp/cards/000311/files/3996_12714.html,140.0,flash,1981.0
14207,2780,近頃の話題,NDC 764 910 980,新字新仮名,https://www.aozora.gr.jp/cards/000311/card2780.html,311,著者,新日本出版社,1980（昭和55）年1月20日,https://www.aozora.gr.jp/cards/000311/files/2780_8805.html,7010.0,short,1980.0
14208,3491,地球はまわる,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3491.html,311,著者,新日本出版社,1980（昭和55）年6月20日,https://www.aozora.gr.jp/cards/000311/files/3491_12397.html,1575.0,flash,1980.0
14209,2860,『地上に待つもの』に寄せて,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card2860.html,311,著者,新日本出版社,1980（昭和55）年12月20日,https://www.aozora.gr.jp/cards/000311/files/2860_8467.html,884.0,flash,1980.0
14210,3174,知性の開眼,NDC 367 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3174.html,311,著者,新日本出版社,1979（昭和54）年7月20日,https://www.aozora.gr.jp/cards/000311/files/3174_10831.html,4317.0,short,1979.0
14211,3985,父の手紙,NDC 914,新字新仮名,https://www.aozora.gr.jp/cards/000311/card3985.html,311,著者,新日本出版社,1981（昭和56）年3月20日,https://www.aozora.gr.jp/cards/000311/files/3985_12712.html,2341.0,shortshort,1981.0
